Lip Product,Brand,"Type of Lip Product",Shades,Price
NIVEA LIP BALM SOOTHE & PRTECT,Beiersdorf,Stick,2,50000
Extra lip tint,Bobbi Brown,Stick,10,711636
Perfect Matte Lip Coat,Dear Me Beauty,Liquid,6,129000
Creamytint,Emina,Liquid,5,46000
magic potion lip tint,Emina,Liquid,5,50000
Squeeze me up Lip Matte,Emina,Liquid,4,58000
Smoochies Lip balm,Emina,Solid,1,32000
Matte Lip Liquid,ESQA,Liquid,7,165000
Dear Darling Water gel tint,Etude House,Liquid,3,55000
Organic lip balm,Eucalie,Stick,1,79000
lip and cheek dual use liquid,Focallure,Liquid,10,38000
Melted Matte Lip,Goban Cosmetics,Liquid,6,130000
Sheen. Tinted lip balm + UV filter,HALE.,Stick,4,98000
Urban Lip Cream Matte,Implora,Liquid,20,25000
Beauty Lip & Cheeck Crayon,Indoganic,Crayon,2,129000
Vivid oil tint,Innisfree,Liquid,4,104000
Metallic Lip Cream,Inul Beauty,Liquid,5,89000
Infalible Pro Matte Lip Liquid,L'oreal,Liquid,9,150000
Rouge Signature Liquid Matte Lipstick,L'oreal,Liquid,14,151376
Color Riche Matte,L'oreal,Stick,8,354267
Intense Matte Lip Cream,Liquid,Liquid,12,119000
Longlasting Matte Lip Cream Metalic,LT Pro,Liquid,3,109900
Ultra Light Lip Stain,Luxcrime,Liquid,8,79000
Airy lip mousse,Luxcrime,Liquid,8,109000
Dew tinted 6hr lip moisturizer,Mad for Makeup,Stick,6,109000
magnifique lip tint,Madame Gie,Liquid,6,33000
Brilliant Glaze Lip Liquide,Madame Gie,Liquid,6,35000
Moist Velvet & Smooth Lip Liquide,Madame Gie,Liquid,6,15765
Hydrastay lip whip,Makeover,Liquid,12,119000
Powestay Transfer Proof Matte Lip Cream,Makeover,Liquid,12,135000
Sensational Liquid Matte,Maybelline,Liquid,19,"66023"
color sensational lip tint,Maybelline,Liquid,19,45000
Super Stay Matte Ink,Maybelline,Liquid,19,239571
Color sensational the powder mattes,Maybelline,Stick,24,88900
Hydra Lip Cheek Tint,Mineral Botanica,Liquid,4,51900
the one A-Z lip balm SPF 25,Oriflame,Stick,2,149000
Lip Cream,PIXY,Liquid,16,55000
2 in 1 color tint,Purbasari,Liquid,3,51900
Lip Cream Series,Raiku,Liquid,13,118000
SUEDED! Lip & Cheek Cream,Rollover Reaction,Liquid,12,109000
Juicy Lip Balm,Rose All day,Stick,3,119000
Lip Color,Runa Beauty,Stick,5,138000
Lip Care,Sensatia Botanica,Liquid,5,80000
Coconut lip sleeping balm,Tiff Body,Liquid,1,88000
delight tony tint,Tony Moly,Liquid,3,49000
Exclusive Matte Lip Cream,Wardah,Liquid,24,66500
Colorfit Velvet Matte Lip Mousse,Wardah,Liquid,14,79000
Everyday Moisture Lip nutrition,Wardah,Stick,2,28500
Color Fit Ultralight Matte,Wardah,Stick,5,47500
The Simplicity Love You tint,Y.O.U,Liquid,4,45100
